t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
1.2,-0.02391,-0.02568,0.0005,0.0788
1.21,-0.0237,-0.02569,0.0009,0.0724
1.22,-0.02349,-0.02569,0.0014,0.0646
1.23,-0.02328,-0.02569,0.0021,0.0794
1.24,-0.02308,-0.02566,-0.0017,0.069
1.25,-0.02287,-0.02571,0.0004,0.0839
1.26,-0.02266,-0.02566,0.0026,0.0786
1.27,-0.02245,-0.02558,0.0018,0.0988
1.28,-0.02225,-0.02565,0.0024,0.0888
1.29,-0.02205,-0.02566,0.0055,0.0795
1.3,-0.02185,-0.02557,0.0004,0.0975
1.31,-0.02165,-0.02559,0.0044,0.0833
1.32,-0.02145,-0.02562,0.005,0.0944
1.33,-0.02126,-0.02555,0.0056,0.09
1.34,-0.02107,-0.02542,0.0084,0.0896
1.35,-0.02088,-0.02533,0.0093,0.117
1.36,-0.0207,-0.0253,0.0116,0.0975
1.37,-0.02051,-0.02513,0.0151,0.0938
1.38,-0.02033,-0.02479,0.0189,0.0972
1.39,-0.02015,-0.02462,0.0203,0.0916
1.4,-0.01998,-0.02444,0.0217,0.1046
1.41,-0.01982,-0.02421,0.024,0.0796
1.42,-0.01968,-0.02387,0.03,0.1124
1.43,-0.01954,-0.02366,0.0307,0.0735
1.44,-0.0194,-0.02332,0.0323,0.0718
1.45,-0.01926,-0.023,0.0328,0.0828
1.46,-0.01913,-0.02264,0.034,0.0707
1.47,-0.01901,-0.02221,0.0343,0.0792
1.48,-0.01895,-0.02199,0.0353,0.076
1.49,-0.01889,-0.02151,0.038,0.0644
1.5,-0.01883,-0.02118,0.0356,0.0918
1.51,-0.01877,-0.02068,0.04,0.0865
1.52,-0.01871,-0.02027,0.0396,0.0696
1.53,-0.01867,-0.01989,0.0401,0.0623
1.54,-0.01864,-0.01934,0.0388,0.0765
1.55,-0.01866,-0.019,0.0392,0.0635
1.56,-0.01867,-0.01845,0.0404,0.0573
1.57,-0.01868,-0.01798,0.0372,0.0555
1.58,-0.01869,-0.01747,0.0369,0.0195
1.59,-0.0208,-0.01701,0.0304,-0.0079
1.6,-0.02429,-0.01656,0.0263,-0.0276
1.61,-0.02437,-0.01654,0.0077,-0.0297
1.62,-0.02446,-0.01632,0.0029,-0.0191
1.63,-0.02454,-0.01646,0.0019,-0.0086
1.64,-0.02462,-0.0164,-0.0014,-0.0017
1.65,-0.02471,-0.01634,0.0012,-0.0157
1.66,-0.02479,-0.01635,-0.0009,-0.0096
1.67,-0.02492,-0.01635,-0.0005,-0.0155
1.68,-0.02509,-0.01636,0.0004,-0.0065
1.69,-0.02528,-0.01641,0.0014,-0.0183
1.7,-0.02547,-0.01639,-0.0013,-0.0323
1.71,-0.02565,-0.01633,0.0013,-0.0193
1.72,-0.02584,-0.01632,0.0039,-0.0241
1.73,-0.02603,-0.01642,-0.0028,-0.0457
1.74,-0.02625,-0.01641,0.0005,-0.0518
1.75,-0.02649,-0.01634,-0.0021,-0.0506
1.76,-0.02672,-0.01642,-0.0049,-0.0625
1.77,-0.02696,-0.01627,-0.0008,-0.0549
1.78,-0.0272,-0.01635,-0.0018,-0.074
1.79,-0.02744,-0.01641,-0.0039,-0.0635
1.8,-0.02768,-0.01635,-0.001,-0.0824
1.81,-0.02793,-0.01636,-0.002,-0.0913
1.82,-0.02819,-0.01642,-0.0029,-0.0895
1.83,-0.02845,-0.01634,-0.0055,-0.091
1.84,-0.02871,-0.01632,-0.0115,-0.0902
1.85,-0.02896,-0.0163,-0.0135,-0.0921
1.86,-0.02922,-0.01634,-0.0195,-0.0955
1.87,-0.02948,-0.01641,-0.0203,-0.1026
1.88,-0.02975,-0.01661,-0.0253,-0.1241
1.89,-0.03001,-0.01707,-0.03,-0.1139
1.9,-0.03028,-0.01736,-0.0345,-0.1205
1.91,-0.03054,-0.01773,-0.0366,-0.0969
1.92,-0.03081,-0.01827,-0.0393,-0.0991
1.93,-0.03107,-0.01853,-0.0413,-0.1318
1.94,-0.03134,-0.01903,-0.047,-0.0997
1.95,-0.03161,-0.0196,-0.0462,-0.1194
1.96,-0.03188,-0.02029,-0.0476,-0.13
1.97,-0.03215,-0.02098,-0.0466,-0.1286
1.98,-0.03241,-0.02137,-0.0491,-0.1504
1.99,-0.03268,-0.02227,-0.0532,-0.1538
2,-0.03295,-0.02278,-0.0517,-0.1361
2.01,-0.03322,-0.02548,-0.0608,-0.1251
2.02,-0.03349,-0.02591,-0.0636,-0.085
2.03,-0.03376,-0.02646,-0.0695,-0.0795
2.04,-0.03402,-0.02693,-0.0718,-0.0808
2.05,-0.03429,-0.02765,-0.076,-0.0954
2.06,-0.03456,-0.02822,-0.0798,-0.0919
2.07,-0.03483,-0.02887,-0.0827,-0.0612
2.08,-0.03509,-0.02944,-0.0892,-0.0739
2.09,-0.03536,-0.03006,-0.0892,-0.0712
2.1,-0.03563,-0.03087,-0.0922,-0.0927
2.11,-0.03589,-0.03176,-0.094,-0.0603
2.12,-0.03616,-0.03258,-0.097,-0.0815
2.13,-0.03643,-0.03349,-0.0978,-0.0959
2.14,-0.03669,-0.03437,-0.0963,-0.0768
2.15,-0.03695,-0.03526,-0.0979,-0.0616
2.16,-0.03721,-0.03641,-0.0975,-0.0612
2.17,-0.03748,-0.03778,-0.0939,-0.067
2.18,-0.03774,-0.03862,-0.0883,-0.0373
2.19,-0.038,-0.0394,-0.0837,-0.0386
2.2,-0.03826,-0.04056,-0.0812,-0.0426
2.21,-0.03852,-0.04155,-0.0749,-0.0569
2.22,-0.03878,-0.04237,-0.0673,-0.0426
2.23,-0.03904,-0.04303,-0.0595,-0.033
2.24,-0.03929,-0.04367,-0.0532,-0.0447
2.25,-0.03955,-0.04428,-0.0487,-0.0194
2.26,-0.03981,-0.04476,-0.0431,-0.0244
2.27,-0.04006,-0.0453,-0.0362,-0.0435
2.28,-0.04031,-0.04571,-0.032,-0.033
2.29,-0.04057,-0.04596,-0.0261,-0.0284
2.3,-0.04082,-0.04626,-0.0253,-0.0259
2.31,-0.04107,-0.04644,-0.0192,-0.0303
2.32,-0.04132,-0.04649,-0.0155,-0.0318
2.33,-0.04157,-0.04678,-0.0153,-0.0457
2.34,-0.04182,-0.04681,-0.0118,-0.0252
2.35,-0.04206,-0.04693,-0.0061,-0.0264
