t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
0,-0.05158,-0.05164,0.0022,-0.0051
0.01,-0.05161,-0.05156,-0.0005,0.0286
0.02,-0.05164,-0.05153,-0.0004,0.0161
0.03,-0.05167,-0.05155,-0.0003,0.0152
0.04,-0.0517,-0.05162,0.0011,0.0077
0.05,-0.05173,-0.05152,0.0013,-0.0058
0.06,-0.05175,-0.05167,0.0007,-0.0042
0.07,-0.05173,-0.05152,0.0027,-0.0035
0.08,-0.05167,-0.05158,-0.0007,-0.0007
0.09,-0.05159,-0.05155,-0.0013,0.0054
0.1,-0.05151,-0.05156,-0.0008,-0.0051
0.11,-0.05143,-0.05158,-0.0013,0.0167
0.12,-0.05135,-0.05149,0.0015,-0.0113
0.13,-0.05126,-0.05162,-0.0015,0.0101
0.14,-0.05111,-0.05147,0.0019,0.0086
0.15,-0.05093,-0.0515,-0.0009,0.013
0.16,-0.05074,-0.05157,-0.0002,0.0036
0.17,-0.05055,-0.05163,-0.0007,0.0156
0.18,-0.05035,-0.05151,-0.0023,0.0177
0.19,-0.05016,-0.05149,0.0005,0.0277
0.2,-0.04994,-0.05158,-0.0008,0.0302
0.21,-0.04971,-0.05154,-0.0013,0.0223
0.22,-0.04945,-0.05151,-0.0021,0.0243
0.23,-0.04918,-0.05157,0.0005,0.0336
0.24,-0.04892,-0.05164,0.0007,0.0417
0.25,-0.04866,-0.05162,-0.0001,0.0477
0.26,-0.0484,-0.0515,0.0002,0.0384
0.27,-0.04813,-0.05151,0.0012,0.0551
0.28,-0.04784,-0.05151,-0.0012,0.0537
0.29,-0.04755,-0.05158,0.0024,0.056
0.3,-0.04726,-0.05157,0.0002,0.0559
0.31,-0.04697,-0.05157,-0.0012,0.0666
0.32,-0.04668,-0.05152,0.0032,0.0701
0.33,-0.04639,-0.05154,-0.0004,0.073
0.34,-0.0461,-0.0516,-0.0009,0.0726
0.35,-0.04581,-0.05165,-0.0004,0.0909
0.36,-0.04552,-0.05152,0.0014,0.0858
0.37,-0.04522,-0.05162,0.0003,0.0975
0.38,-0.04493,-0.05158,-0.0002,0.0975
0.39,-0.04464,-0.05157,0.0015,0.1054
0.4,-0.04434,-0.05153,0.0053,0.104
0.41,-0.04405,-0.05134,0.007,0.1084
0.42,-0.04376,-0.05138,0.0102,0.1039
0.43,-0.04347,-0.05128,0.015,0.1172
0.44,-0.04318,-0.05104,0.017,0.1133
0.45,-0.04289,-0.05096,0.0187,0.1083
0.46,-0.0426,-0.05073,0.0207,0.1106
0.47,-0.04231,-0.05062,0.0274,0.106
0.48,-0.04203,-0.05037,0.0302,0.0906
0.49,-0.04174,-0.05011,0.0336,0.0914
0.5,-0.04146,-0.04988,0.0409,0.1088
0.51,-0.04117,-0.04944,0.0421,0.1039
0.52,-0.04089,-0.04913,0.0491,0.1272
0.53,-0.0406,-0.04874,0.053,0.1134
0.54,-0.04032,-0.04853,0.0525,0.146
0.55,-0.04004,-0.04817,0.0572,0.0982
0.56,-0.03977,-0.04755,0.0658,0.1355
0.57,-0.03949,-0.04699,0.0669,0.1067
0.58,-0.03921,-0.04632,0.0734,0.093
0.59,-0.03893,-0.04559,0.0758,0.1185
0.6,-0.03865,-0.04489,0.0771,0.1203
0.61,-0.03838,-0.04405,0.0787,0.089
0.62,-0.0381,-0.04334,0.0822,0.0595
0.63,-0.03783,-0.04257,0.0795,0.09
0.64,-0.03756,-0.04093,0.083,0.0672
0.65,-0.03729,-0.04041,0.0853,0.0707
0.66,-0.03701,-0.03956,0.085,0.0451
0.67,-0.03674,-0.03781,0.0898,0.0694
0.68,-0.03647,-0.03725,0.0915,0.0804
0.69,-0.03621,-0.03591,0.082,0.0539
0.7,-0.03594,-0.03521,0.0785,0.0406
0.71,-0.03567,-0.03445,0.0808,0.0551
0.72,-0.03541,-0.03334,0.0769,0.0395
0.73,-0.03514,-0.03264,0.075,0.025
0.74,-0.03488,-0.03201,0.0679,0.0376
0.75,-0.03462,-0.03144,0.069,0.0161
0.76,-0.03436,-0.03092,0.0627,0.0349
0.77,-0.0341,-0.03034,0.0587,0.0498
0.78,-0.03384,-0.02988,0.0532,0.0224
0.79,-0.03358,-0.02954,0.0481,0.0479
0.8,-0.03331,-0.02917,0.0462,0.0327
0.81,-0.03306,-0.02883,0.0422,0.0459
0.82,-0.03281,-0.0285,0.037,0.0359
0.83,-0.03256,-0.02824,0.0334,0.0323
0.84,-0.03231,-0.02803,0.0307,0.039
0.85,-0.03205,-0.02777,0.0292,0.0446
0.86,-0.0318,-0.02766,0.026,0.0334
0.87,-0.03155,-0.02762,0.0225,0.0425
0.88,-0.03131,-0.02741,0.0188,0.0424
0.89,-0.03106,-0.02718,0.0173,0.0435
0.9,-0.03082,-0.02706,0.01,0.0337
0.91,-0.03057,-0.02704,0.0087,0.0403
0.92,-0.03033,-0.02698,0.0057,0.0347
0.93,-0.03008,-0.02681,0.0055,0.0502
0.94,-0.02984,-0.02687,-0.0007,0.0483
0.95,-0.0296,-0.0268,0.0017,0.054
0.96,-0.02936,-0.02685,-0.0004,0.0564
0.97,-0.02912,-0.0269,0.0007,0.0307
0.98,-0.02888,-0.0269,-0.0001,0.045
0.99,-0.02864,-0.02692,0.0003,0.0335
1,-0.02841,-0.02684,0.0006,0.0394
1.01,-0.02817,-0.0269,0.0007,0.0578
1.02,-0.02794,-0.02682,-0,0.0678
1.03,-0.02771,-0.0269,0.0031,0.0406
1.04,-0.02748,-0.02688,-0.002,0.0574
1.05,-0.02725,-0.0269,-0.0005,0.0474
1.06,-0.02701,-0.0269,0.0037,0.0558
1.07,-0.02678,-0.02686,-0.0009,0.0617
1.08,-0.02656,-0.02682,-0.0006,0.063
1.09,-0.02633,-0.0268,0.0015,0.0511
1.1,-0.02611,-0.02693,0,0.0617
1.11,-0.02588,-0.02684,0.0002,0.0651
1.12,-0.02566,-0.0269,-0.0024,0.0789
1.13,-0.02544,-0.02677,-0.0013,0.071
1.14,-0.02522,-0.02685,-0.0022,0.0703
1.15,-0.025,-0.0268,-0.0005,0.0687
1.16,-0.02478,-0.02683,0.0015,0.0802
1.17,-0.02456,-0.02683,-0.0006,0.0744
1.18,-0.02435,-0.02675,0.0028,0.0663
1.19,-0.02413,-0.02682,0.004,0.0836
1.2,-0.02391,-0.02682,0.0067,0.0765
1.21,-0.0237,-0.02671,0.0113,0.0879
1.22,-0.02349,-0.02661,0.0098,0.0807
1.23,-0.02328,-0.02645,0.0096,0.0811
1.24,-0.02308,-0.0263,0.0124,0.0927
1.25,-0.02287,-0.02638,0.017,0.0813
1.26,-0.02266,-0.02623,0.0151,0.088
1.27,-0.02245,-0.02617,0.0184,0.0781
1.28,-0.02225,-0.02593,0.0162,0.088
1.29,-0.02205,-0.02583,0.0199,0.1101
1.3,-0.02185,-0.02567,0.0237,0.1031
1.31,-0.02165,-0.02556,0.0243,0.0857
1.32,-0.02145,-0.02525,0.0241,0.0922
1.33,-0.02126,-0.02482,0.0304,0.099
1.34,-0.02107,-0.02457,0.0289,0.0833
1.35,-0.02088,-0.0244,0.0331,0.0782
1.36,-0.0207,-0.02402,0.0321,0.0982
1.37,-0.02051,-0.02374,0.0353,0.0861
1.38,-0.02033,-0.02329,0.0373,0.0657
1.39,-0.02015,-0.02283,0.0376,0.1024
1.4,-0.01998,-0.0226,0.0392,0.0778
1.41,-0.01982,-0.02214,0.0396,0.0649
1.42,-0.01968,-0.02164,0.0411,0.0663
1.43,-0.01954,-0.02105,0.0382,0.0847
1.44,-0.0194,-0.02076,0.04,0.0745
1.45,-0.01926,-0.02025,0.0394,0.0505
1.46,-0.01913,-0.0199,0.0414,0.0723
1.47,-0.01901,-0.01946,0.0407,0.0522
1.48,-0.01895,-0.01899,0.0445,0.0672
1.49,-0.01889,-0.0185,0.0405,0.0632
1.5,-0.01883,-0.0179,0.0412,0.0483
1.51,-0.01877,-0.01735,0.0439,0.047
1.52,-0.01871,-0.01672,0.0359,0.0366
1.53,-0.01867,-0.01618,0.0401,0.0457
1.54,-0.01864,-0.0159,0.0326,0.0394
1.55,-0.01866,-0.0154,0.0343,0.0415
1.56,-0.01867,-0.015,0.026,0.0181
1.57,-0.01868,-0.01458,0.0275,0.0365
1.58,-0.01869,-0.01445,0.0198,0.0281
1.59,-0.0208,-0.01408,0.0159,-0.0193
1.6,-0.02429,-0.01416,0.0018,-0.0444
1.61,-0.02437,-0.01416,-0.0027,-0.0613
1.62,-0.02446,-0.01408,-0.0078,-0.0373
1.63,-0.02454,-0.01419,-0.005,-0.0424
1.64,-0.02462,-0.01418,-0.0041,-0.0368
1.65,-0.02471,-0.01411,0.0003,-0.0329
1.66,-0.02479,-0.01421,0.0003,-0.0534
1.67,-0.02492,-0.01414,0.0003,-0.0481
1.68,-0.02509,-0.01416,-0.0019,-0.0375
1.69,-0.02528,-0.01424,0.0036,-0.0644
1.7,-0.02547,-0.01421,-0.0019,-0.0758
1.71,-0.02565,-0.01423,-0.0009,-0.0645
1.72,-0.02584,-0.01418,-0.0013,-0.0804
1.73,-0.02603,-0.01416,-0.0025,-0.0711
1.74,-0.02625,-0.0141,-0.0106,-0.0751
1.75,-0.02649,-0.01414,-0.0088,-0.0773
1.76,-0.02672,-0.01422,-0.0123,-0.0762
1.77,-0.02696,-0.01432,-0.0142,-0.0871
1.78,-0.0272,-0.01437,-0.0156,-0.0903
1.79,-0.02744,-0.01466,-0.0166,-0.0884
1.8,-0.02768,-0.01507,-0.0253,-0.1235
1.81,-0.02793,-0.01525,-0.0253,-0.0913
1.82,-0.02819,-0.01567,-0.0279,-0.1116
1.83,-0.02845,-0.01595,-0.0349,-0.1164
1.84,-0.02871,-0.01627,-0.0351,-0.1135
1.85,-0.02896,-0.01676,-0.0416,-0.1211
1.86,-0.02922,-0.01713,-0.0392,-0.0968
1.87,-0.02948,-0.01775,-0.0403,-0.1257
